date,solar_radiation_mean,solar_radiation_sum,sunshine_duration_mean,mean_temperature,mean_cloud_cover,month_index
2020-01-01,8.147741935483872,252.58,5.738709677419355,1.6258064516129032,4.77741935483871,0
2020-02-01,10.808275862068966,313.44,6.379310344827586,2.5344827586206895,4.672413793103448,1
2020-03-01,16.618709677419353,515.18,8.480645161290322,7.735483870967743,3.383870967741936,2
2020-04-01,21.250666666666667,637.52,9.443333333333333,11.123333333333333,3.0733333333333333,3
2020-05-01,18.220322580645163,564.83,5.738709677419355,18.006451612903227,6.348387096774194,4
2020-06-01,20.13266666666667,603.98,6.87,23.886666666666667,5.8966666666666665,5
2020-07-01,14.985483870967743,464.55,3.851612903225807,24.14516129032258,7.5,6
2020-08-01,10.515161290322581,325.97,2.4096774193548387,26.519354838709678,8.064516129032258,7
2020-09-01,15.068333333333333,452.05,5.8100000000000005,21.39333333333333,5.843333333333334,8
2020-10-01,13.814516129032258,428.25,7.325806451612903,14.290322580645162,3.6677419354838707,9
2020-11-01,9.383666666666667,281.51,5.716666666666667,8.026666666666667,4.06,10
2020-12-01,8.915806451612903,276.39,6.567741935483871,-0.3516129032258065,3.264516129032258,11
2021-01-01,9.008333333333333,270.25,5.88,-1.9666666666666666,3.9866666666666664,12
2021-02-01,12.448214285714286,348.55,6.464285714285714,2.732142857142857,3.975,13
2021-03-01,15.38516129032258,476.94,6.870967741935484,9.016129032258064,4.661290322580645,14
2021-04-01,18.609333333333332,558.28,6.953333333333333,14.196666666666665,4.806666666666667,15
2021-05-01,18.403225806451612,570.5,6.570967741935483,17.067741935483873,5.638709677419355,16
2021-06-01,18.778333333333332,563.35,6.183333333333334,22.816666666666666,5.6033333333333335,17
2021-07-01,18.654838709677417,578.3,6.296774193548386,28.11935483870968,5.861290322580645,18
2021-08-01,13.834838709677419,428.88,4.106451612903226,25.858064516129033,6.951612903225806,19
2021-09-01,15.804333333333334,474.13,6.066666666666666,22.596666666666668,5.36,20
2021-10-01,11.40709677419355,353.62,5.432258064516129,15.574193548387097,4.735483870967743,21
2021-11-01,9.054666666666666,271.64,5.453333333333333,8.18,4.1866666666666665,22
2021-12-01,8.298387096774194,257.25,5.980645161290322,0.5838709677419355,3.2129032258064516,23
2022-01-01,9.73225806451613,301.7,6.674193548387097,-2.196774193548387,3.096774193548387,24
2022-02-01,13.430357142857144,376.05,7.278571428571428,-1.125,3.1571428571428575,25
2022-03-01,13.722580645161292,425.40000000000003,5.580645161290323,7.65483870967742,5.190322580645161,26
2022-04-01,20.508,615.24,8.213333333333333,14.753333333333332,4.133333333333334,27
2022-05-01,24.66483870967742,764.61,9.751612903225807,19.12258064516129,3.9000000000000004,28
2022-06-01,14.686333333333332,440.59,4.3966666666666665,23.303333333333335,6.913333333333333,29
2022-07-01,16.41258064516129,508.79,4.519354838709678,27.32903225806452,6.893548387096774,30
2022-08-01,13.427,402.81,3.8766666666666665,25.706666666666667,7.193333333333333,31
2022-09-01,16.540666666666667,496.22,6.796666666666667,22.353333333333335,5.133333333333334,32
2022-10-01,13.555483870967741,420.21999999999997,6.967741935483871,14.564516129032258,4.212903225806452,33
2022-11-01,9.959,298.77,6.25,10.03,3.746666666666667,34
2022-12-01,8.887096774193548,275.5,6.358064516129032,-2.8161290322580643,3.4129032258064513,35
2023-01-01,9.379999999999999,290.78,6.158064516129032,-1.5225806451612904,3.6451612903225805,36
2023-02-01,12.996785714285716,363.91,7.078571428571428,2.3000000000000003,3.457142857142857,37
2023-03-01,16.79258064516129,520.57,7.735483870967743,9.780645161290321,3.3548387096774195,38
2023-04-01,16.601,498.03,6.076666666666667,13.8,5.35,39
2023-05-01,20.909032258064514,648.18,7.6,19.52258064516129,5.329032258064516,40
2023-06-01,19.072333333333333,572.17,6.503333333333333,23.383333333333333,5.696666666666667,41
2023-07-01,15.44516129032258,478.8,4.712903225806452,26.706451612903226,6.729032258064516,42
2023-08-01,15.153548387096773,469.76,5.035483870967742,27.187096774193545,6.467741935483871,43
2023-09-01,14.193000000000001,425.79,5.236666666666666,23.663333333333334,6.216666666666667,44
2023-10-01,13.43774193548387,416.57,6.732258064516128,15.793548387096775,3.7161290322580647,45
2023-11-01,9.471,284.13,5.73,6.796666666666667,3.783333333333333,46
2023-12-01,7.244,217.32,4.739999999999999,0.7733333333333333,4.366666666666666,47
2024-01-01,9.02290322580645,279.71,5.72258064516129,-0.4870967741935483,3.925806451612903,48
2024-02-01,8.965172413793104,259.99,3.768965517241379,3.820689655172414,5.958620689655173,49
2024-03-01,15.109655172413794,438.18,6.572413793103448,6.944827586206896,4.1000000000000005,50
2024-04-01,18.605,558.15,6.973333333333333,16.343333333333334,4.83,51
2024-05-01,22.157096774193548,686.87,8.451612903225806,18.493548387096773,4.209677419354839,52
2024-06-01,23.817333333333334,714.52,9.520000000000001,24.59333333333333,4.206666666666667,53
2024-07-01,12.981612903225807,402.43,3.106451612903226,26.596774193548388,7.922580645161291,54
2024-08-01,16.38483870967742,507.93,5.774193548387097,29.33225806451613,4.925806451612903,55
2024-09-01,14.640333333333333,439.21,5.5633333333333335,25.483333333333334,5.22,56
2024-10-01,11.842258064516129,367.11,5.367741935483871,16.654838709677417,4.680645161290323,57
2024-11-01,10.103793103448275,293.01,6.306896551724138,9.424137931034483,3.8793103448275863,58
2024-12-01,9.305806451612904,288.48,6.65483870967742,0.8483870967741935,2.8741935483870966,59
