date,month_index,solar_radiation_mean,lambda_0.000,lambda_0.003,lambda_0.006,lambda_0.010
2020-01-01,0,8.147741935483872,8.147741935483872,8.147741935483872,8.147741935483872,8.147741935483872
2020-02-01,1,10.808275862068966,10.808275862068966,10.775899623123353,10.743620367347086,10.700731720356526
2020-03-01,2,16.618709677419353,16.618709677419353,16.51929595875182,16.42047693652288,16.289637177876585
2020-04-01,3,21.250666666666667,21.250666666666667,21.060268742509628,20.871576711635463,20.622614551594832
2020-05-01,4,18.220322580645163,18.220322580645163,18.002985341154975,17.788240562663226,17.505893513432476
2020-06-01,5,20.13266666666667,20.13266666666667,19.83293030938193,19.537656445087602,19.150784926998043
2020-07-01,6,14.985483870967743,14.985483870967743,14.718158309098344,14.45560155927693,14.112797228276218
2020-08-01,7,10.515161290322581,10.515161290322581,10.29664535099054,10.082670399135896,9.80427140241103
2020-09-01,8,15.068333333333333,15.068333333333333,14.710998503202097,14.362137614946201,13.909824812802624
2020-10-01,9,13.814516129032258,13.814516129032258,13.446514570412814,13.0883161164321,12.625517099754951
2020-11-01,10,9.383666666666667,9.383666666666667,9.106337404974685,8.837204461643395,8.490692718376765
2020-12-01,11,8.915806451612903,8.915806451612903,8.626386531768148,8.346361599405178,7.987083763051853
2021-01-01,12,9.008333333333333,9.008333333333333,8.689801310460467,8.382532486432611,7.989674934093727
2021-02-01,13,12.448214285714286,12.448214285714286,11.972078916891647,11.514155388276809,10.930720087405774
2021-03-01,14,15.38516129032258,15.38516129032258,14.752366230523895,14.145598170387379,13.375216670680853
2021-04-01,15,18.609333333333332,18.609333333333332,17.790475805259433,17.007650070440707,16.01720163595271
2021-05-01,16,18.403225806451612,18.403225806451612,17.540736307345693,16.718668424748287,15.682194567910438
2021-06-01,17,18.778333333333332,18.778333333333332,17.844649634814758,16.957389931088724,15.842619147652425
2021-07-01,18,18.654838709677417,18.654838709677417,17.674193135160966,16.745098032765174,15.581831072875437
2021-08-01,19,13.834838709677419,13.834838709677419,13.068306595803694,12.344244907059588,11.440846237600942
2021-09-01,20,15.804333333333334,15.804333333333334,14.883960610276661,14.017186222023529,12.939493731895451
2021-10-01,21,11.40709677419355,11.40709677419355,10.710619069869397,10.056665874824246,9.246412937418631
2021-11-01,22,9.054666666666666,9.054666666666666,8.476352932539177,7.934975596778697,7.266540209284255
2021-12-01,23,8.298387096774194,8.298387096774194,7.745106079036048,7.2287141436002145,6.593347394967184
2022-01-01,24,9.73225806451613,9.73225806451613,9.056166815040026,8.427043019014908,7.655665344638038
2022-02-01,25,13.430357142857144,13.430357142857144,12.459926358351868,11.559615519094393,10.45957265978578
