date,solar_radiation_mean,transmission_1.00,transmission_0.98,transmission_0.95,transmission_0.90
2020-01-01,8.147741935483872,8.147741935483872,7.984787096774194,7.740354838709678,7.332967741935485
2020-02-01,10.808275862068966,10.808275862068966,10.592110344827587,10.267862068965517,9.72744827586207
2020-03-01,16.618709677419353,16.618709677419353,16.286335483870968,15.787774193548385,14.956838709677418
2020-04-01,21.250666666666667,21.250666666666667,20.825653333333335,20.188133333333333,19.125600000000002
2020-05-01,18.220322580645163,18.220322580645163,17.85591612903226,17.309306451612905,16.398290322580646
2020-06-01,20.13266666666667,20.13266666666667,19.730013333333336,19.126033333333336,18.119400000000002
2020-07-01,14.985483870967743,14.985483870967743,14.685774193548388,14.236209677419355,13.486935483870969
2020-08-01,10.515161290322581,10.515161290322581,10.304858064516129,9.989403225806452,9.463645161290323
2020-09-01,15.068333333333333,15.068333333333333,14.766966666666667,14.314916666666665,13.5615
2020-10-01,13.814516129032258,13.814516129032258,13.538225806451612,13.123790322580644,12.433064516129033
2020-11-01,9.383666666666667,9.383666666666667,9.195993333333334,8.914483333333333,8.4453
2020-12-01,8.915806451612903,8.915806451612903,8.737490322580646,8.470016129032258,8.024225806451613
2021-01-01,9.008333333333333,9.008333333333333,8.828166666666666,8.557916666666666,8.1075
2021-02-01,12.448214285714286,12.448214285714286,12.199250000000001,11.82580357142857,11.203392857142857
2021-03-01,15.38516129032258,15.38516129032258,15.077458064516128,14.61590322580645,13.846645161290322
2021-04-01,18.609333333333332,18.609333333333332,18.237146666666664,17.678866666666664,16.7484
2021-05-01,18.403225806451612,18.403225806451612,18.03516129032258,17.48306451612903,16.56290322580645
2021-06-01,18.778333333333332,18.778333333333332,18.402766666666665,17.839416666666665,16.9005
2021-07-01,18.654838709677417,18.654838709677417,18.28174193548387,17.722096774193545,16.789354838709677
2021-08-01,13.834838709677419,13.834838709677419,13.55814193548387,13.143096774193546,12.451354838709676
2021-09-01,15.804333333333334,15.804333333333334,15.488246666666667,15.014116666666666,14.2239
2021-10-01,11.40709677419355,11.40709677419355,11.178954838709679,10.836741935483872,10.266387096774194
2021-11-01,9.054666666666666,9.054666666666666,8.873573333333333,8.601933333333331,8.1492
2021-12-01,8.298387096774194,8.298387096774194,8.13241935483871,7.883467741935484,7.468548387096774
2022-01-01,9.73225806451613,9.73225806451613,9.537612903225806,9.245645161290323,8.759032258064517
2022-02-01,13.430357142857144,13.430357142857144,13.161750000000001,12.758839285714286,12.08732142857143
2022-03-01,13.722580645161292,13.722580645161292,13.448129032258066,13.036451612903226,12.350322580645162
2022-04-01,20.508,20.508,20.097839999999998,19.482599999999998,18.4572
2022-05-01,24.66483870967742,24.66483870967742,24.17154193548387,23.431596774193547,22.198354838709676
2022-06-01,14.686333333333332,14.686333333333332,14.392606666666666,13.952016666666665,13.217699999999999
2022-07-01,16.41258064516129,16.41258064516129,16.084329032258065,15.591951612903227,14.771322580645164
2022-08-01,13.427,13.427,13.15846,12.75565,12.0843
2022-09-01,16.540666666666667,16.540666666666667,16.20985333333333,15.713633333333332,14.8866
2022-10-01,13.555483870967741,13.555483870967741,13.284374193548386,12.877709677419354,12.199935483870968
2022-11-01,9.959,9.959,9.75982,9.461049999999998,8.9631
2022-12-01,8.887096774193548,8.887096774193548,8.709354838709677,8.44274193548387,7.998387096774193
2023-01-01,9.379999999999999,9.379999999999999,9.1924,8.910999999999998,8.442
2023-02-01,12.996785714285716,12.996785714285716,12.736850000000002,12.34694642857143,11.697107142857144
2023-03-01,16.79258064516129,16.79258064516129,16.456729032258064,15.952951612903226,15.113322580645162
2023-04-01,16.601,16.601,16.26898,15.77095,14.9409
2023-05-01,20.909032258064514,20.909032258064514,20.490851612903224,19.86358064516129,18.818129032258064
2023-06-01,19.072333333333333,19.072333333333333,18.690886666666668,18.118716666666664,17.1651
2023-07-01,15.44516129032258,15.44516129032258,15.136258064516129,14.67290322580645,13.900645161290322
2023-08-01,15.153548387096773,15.153548387096773,14.850477419354837,14.395870967741933,13.638193548387097
2023-09-01,14.193000000000001,14.193000000000001,13.90914,13.483350000000002,12.773700000000002
2023-10-01,13.43774193548387,13.43774193548387,13.168987096774194,12.765854838709677,12.093967741935485
2023-11-01,9.471,9.471,9.28158,8.997449999999999,8.523900000000001
2023-12-01,7.244,7.244,7.099119999999999,6.881799999999999,6.5196
2024-01-01,9.02290322580645,9.02290322580645,8.842445161290321,8.571758064516127,8.120612903225805
2024-02-01,8.965172413793104,8.965172413793104,8.785868965517242,8.516913793103448,8.068655172413793
2024-03-01,15.109655172413794,15.109655172413794,14.807462068965517,14.354172413793103,13.598689655172414
2024-04-01,18.605,18.605,18.2329,17.67475,16.744500000000002
2024-05-01,22.157096774193548,22.157096774193548,21.713954838709675,21.04924193548387,19.941387096774193
2024-06-01,23.817333333333334,23.817333333333334,23.340986666666666,22.626466666666666,21.4356
2024-07-01,12.981612903225807,12.981612903225807,12.72198064516129,12.332532258064516,11.683451612903227
2024-08-01,16.38483870967742,16.38483870967742,16.057141935483873,15.56559677419355,14.74635483870968
2024-09-01,14.640333333333333,14.640333333333333,14.347526666666665,13.908316666666666,13.1763
2024-10-01,11.842258064516129,11.842258064516129,11.605412903225806,11.250145161290321,10.658032258064516
2024-11-01,10.103793103448275,10.103793103448275,9.901717241379309,9.598603448275862,9.093413793103448
2024-12-01,9.305806451612904,9.305806451612904,9.119690322580645,8.840516129032258,8.375225806451613
